Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,11.10.2025,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT,",Baghpat,M.Com.,M.Com.,I-304,11.10.2026,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0022-M.M. DEGREE COLLEGE, KHEKHRA (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,11.10.2027,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0135-BARAUT COLLEGE OF EDUCATION, GURANA, AMINAGAR SARAI ROAD, BARAUT (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,11.10.2028,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0154-SETH TARIF SINGH JAIN COLLEGE, KHATTA PRAHLAD PUR, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,11.10.2029,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0178-GAYTARI DEVI COLLEGE OF EDUCATION, MALAKPUR ROAD, BARAUT (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,11.10.2030,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0182-KALINDI COLLEGE, MALAKPUR-CHHAPRAULI ROAD, BARAUT, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,11.10.2031,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0205-SHRI VINAYAK COLLEGE OF EDUCATION, DELHI SAHARANPUR ROAD, MAVI KALAN BAGHAPAT,",Baghpat,M.Com.,M.Com.,I-304,11.10.2032,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0284-SHRI RAM COLLEGE OF HIGHER EDUCATION, OPP-RIVER PARK, DEHLI-SAHARANPUR ROAD, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,11.10.2033,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0508-S.P.S. COLLEGE OF HIGHER EDUCATION, (NEAR-RAMALA SUGUR MILL)] BARAUT, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,11.10.2034,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","1005-TEJAS INSTITUTE OF EDUCATION AND TRAINING, VILL KHAILA, POST, RATAUL, KHEKRA, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,11.10.2035,10:00 AM Onwards
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","1097-JAIN GIRLS DEGREE COLLEGE, KHEKHRA, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,11.10.2036,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2038,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0009-SYANA DEGREE COLELGE, VILL-GHANSOORPUR, POST BHASORA, TH. SYANA, DISTT. BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2039,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0014-SMT DILAWARI DEVI KISAN KANYA P.G. COLLEGE, CHINGRAWATHI, BULANDSHSHAR,",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2040,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2041,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2042,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0089-SHIV MANDIR CHHUTTAN LAL KAKA GIRLS DEGREE COLLEGE, KHATTRI BARA, SIKANDRABAD (BSR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2043,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2044,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0112-RAGHUWAR DAYAL PRABHU DAYAL GIRLS (P.G.) COLLEGE, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2045,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0123-CH. HARCHAND SINGH MAHAVIDYALYA, GOTNI, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2046,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0137-MAHARAJA AGRASEN COLL. OF HIGHER EDUCATION, 5 KM. SIYANA-GARH ROAD, PO-SARAI, CHABBILA, BULAND",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2047,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0140-GOVERNMENT MAHAVIDYALA, BIBINAGAR (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2048,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0166-SHRI RAM INSTITUTE OF MGMT & TECHNOLOGY, NH-93, RAILWAY ROAD, DIBAI, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2049,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0211-SCHOOL OF BUSINESS MANAGEMENT AND TECHNOLOGY, (SBMT) CAMPUS 11TH STONE, NH-91, KHURJA ROAD, BUL",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2050,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0231-RAGHUWAR DAYAL PRABHU DAYAL INSTITURE OF HIGHER EDUCATION, SHEKHUPUR RORA, BHAIPUR DORAHA, JAH",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2051,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0292-NATRAJ INSTITUTE OF EDUCATION & TECHNOLOGY, PUTHA DAULATPUR, JAHANGIRABAD, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2052,10:00 AM Onwards
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0615-BRAHMANAND MAHAVIDYALAYA, BULANDSHAHR-KHURJA ROAD, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2053,10:00 AM Onwards
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2055,10:00 AM Onwards
"0007-I.P.COLLEGE, BULANDSHAHR","0007-I.P.COLLEGE, BULANDSHAHAR",Bulandhshahr,M.Com.,M.Com.,I-304,11.10.2057,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,11.10.2059,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARGE, DANKAUR, GAUTAMBUDH NAGAR",Noida,M.Com.,M.Com.,I-304,11.10.2060,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0146-COLLEGE OF EDUCATION, BILASPUR (GREATER NOIDA)",Noida,M.Com.,M.Com.,I-304,11.10.2061,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0224-PARSANDI DEVI COLLEGE OF MANAGEMENT & TECHNOLOGY, BILASHPUR, GREATER NOIDA",Noida,M.Com.,M.Com.,I-304,11.10.2062,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD",0362-KESHAV MADHAV VIDHI SHIKSHAN SANSHTHAN VILL. & POST - DHOOM MANIKPUR DADRI GAUTAMBUDH NAGAR,Noida,M.Com.,M.Com.,I-304,11.10.2063,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0833-JANHIT INSTITUTE OF EDUCATION & INFORMATION, 38-B, PHASE-1, KNOWLEGE PARK-I, GARTER NOIDA",Noida,M.Com.,M.Com.,I-304,11.10.2064,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR-44, NOIDA",Noida,M.Com.,M.Com.,I-304,11.10.2065,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.Com.,M.Com.,I-304,11.10.2066,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0025-V.M.L.G. COLLEGE, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,11.10.2067,10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0029-CHAMELI DEVI DURGA PRASAD GIRLS DEGREE COLLEGE, SONDA, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,11.10.2068,10:00 AM Onwards
