Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0007-I.P.COLLEGE, BULANDSHAHAR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0009-SYANA DEGREE COLELGE, VILL-GHANSOORPUR, POST BHASORA, TH. SYANA, DISTT. BULANDSHAHR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0010-SHYAM LAL SARASWATI MAHAVIDYALAYA, SHIKARPUR, BULANDSHAR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0010-SHYAM LAL SARASWATI MAHAVIDYALAYA, SHIKARPUR, BULANDSHAR",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0011-MUSLIM GIRLS DEGREE COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0012-GAURI SHANKER KANYA MAHAVIDYALAYA, BULANDSHAHR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0013-DR. RAM MANOHAR LOHIA CHOBISA MAHAVIDYALAYA, MOHANA, BULANDSHAHR",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0013-DR. RAM MANOHAR LOHIA CHOBISA MAHAVIDYALAYA, MOHANA, BULANDSHAHR",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)",0043-A.K.P. DEGREE COLLEGE KHURJA (BULANDSHAHAR),Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0045-A.S. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0045-A.S. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-803,01.01.2025,10:00 AM Onwards
"027-Arya Kanya Pathshala Degree College, Hapur (Pancheel Nagar)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,Education,G-804,01.01.2025,10:00 AM Onwards
