Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0006-D.A.V. COLLEGE, BULANDSHAHR","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0007-I.P.COLLEGE, BULANDSHAHAR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0009-SYANA DEGREE COLELGE, VILL-GHANSOORPUR, POST BHASORA, TH. SYANA, DISTT. BULANDSHAHR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0010-SHYAM LAL SARASWATI MAHAVIDYALAYA, SHIKARPUR, BULANDSHAR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0011-MUSLIM GIRLS DEGREE COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0012-GAURI SHANKER KANYA MAHAVIDYALAYA, BULANDSHAHR",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0014-SMT DILAWARI DEVI KISAN KANYA P.G. COLLEGE, CHINGRAWATHI, BULANDSHSHAR,",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"0006-D.A.V. COLLEGE, BULANDSHAHR","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",0043-A.K.P. DEGREE COLLEGE KHURJA (BULANDSHAHAR),Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0045-A.S. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
"N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,English,G-812,01.01.2025,10:00 AM Onwards
